category,brand,aliases
Mode,nike,nike air,air jordan
Mode,adidas,adidas originals,adidas performance
Mode,puma,puma sport
Mode,reebok,reebok classic
Mode,converse,converse all star
Mode,vans,vans old skool
Mode,timberland,timberland boots
Mode,levis,levi's,levis
Mode,zara,zara home
Mode,h&m,h&m home
Mode,uniqlo,uniqlo japan
Mode,gap,gap kids
Mode,tommy hilfiger,tommy
Mode,calvin klein,ck,calvin klein underwear
Mode,ralph lauren,polo ralph lauren
Mode,lacoste,lacoste sport
Mode,polo,polo ralph lauren
Mode,guess,guess jeans
Mode,diesel,diesel jeans
Mode,benetton,benetton group
