category,brand,aliases,logo,website,price_range,sustainable_materials,certifications,country_origin,country_production,unsold_management,supply_chain_transparency,global_env_impact,labor_ethics,final_score,short_description,description,planet_badge,labor_badge,
streetwear,Supreme,,https://logo.clearbit.com/supreme.com,https://supreme.com,4,,,,,,,,,,,,,,['']
streetwear,Stussy,,https://logo.clearbit.com/stussy.com,https://stussy.com,3,,,,,,,,,,,,,,['']
streetwear,Off-White,,https://logo.clearbit.com/off---white.com,https://off---white.com,5,,,,,,,,,,,,,,['']
streetwear,A Bathing Ape,,https://jp.bape.com/cdn/shop/files/bapeblack-l-logo_13b6c9ea-2c35-41c8-994d-46304c62f347_265x.jpg?v=1682666855,https://bape.com,4,,,,,,,,,,,,,,['']
streetwear,Palace,,https://logo.clearbit.com/palaceskateboards.com,https://palaceskateboards.com,4,,,,,,,,,,,,,,['']
streetwear,Kith,,https://logo.clearbit.com/kith.com,https://kith.com,4,,,,,,,,,,,,,,['']
streetwear,Fear of God,,https://logo.clearbit.com/fearofgod.com,https://fearofgod.com,5,,,,,,,,,,,,,,['']
streetwear,Aimé Leon Dore,,https://logo.clearbit.com/aimeleondore.com,https://aimeleondore.com,4,,,,,,,,,,,,,,['']
streetwear,Carhartt WIP,,https://logo.clearbit.com/carhartt-wip.com,https://carhartt-wip.com,3,,,,,,,,,,,,,,['']
streetwear,Patta,,https://patta.nl/cdn/shop/t/260/assets/logo.promo-app.svg?v=14120292021898923831731948341,https://patta.nl,3,,,,,,,,,,,,,,['']
streetwear,Noah,,https://logo.clearbit.com/noahny.com,https://noahny.com,4,,,,,,,,,,,,,,['']
streetwear,Comme des Garçons,,https://logo.clearbit.com/comme-des-garcons.com,https://comme-des-garcons.com,5,,,,,,,,,,,,,,['']
streetwear,Vetements,,https://logo.clearbit.com/vetements.com,https://vetements.com,5,,,,,,,,,,,,,,['']
streetwear,Anti Social Social Club,,https://logo.clearbit.com/antisocialsocialclub.com,https://antisocialsocialclub.com,3,,,,,,,,,,,,,,['']
