company,year,metric,value,source,comments,answer_url,item_url
Varusteleka Oy,2025,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000241443,,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Varusteleka_Oy.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Varusteleka_Oy+2025.json
Halti Oy,2025,Clean Clothes Campaign+Living Wage Action Plan,No,"Source-000241422
Source-000241423",,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Halti_Oy.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Halti_Oy+2025.json
Joutsen Finland Oy,2025,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000241416,,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Joutsen_Finland_Oy.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Joutsen_Finland_Oy+2025.json
Finlayson Oy,2025,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000241408,,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Finlayson_Oy.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Finlayson_Oy+2025.json
Makia Clothing Oy,2025,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000241404,,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Makia_Clothing_Oy.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Makia_Clothing_Oy+2025.json
Devold of Norway AS,2025,Clean Clothes Campaign+Living Wage Action Plan,Yes,"Source-000241454
Source-000241455","""Support SDG 1 No Poverty and SDG 8 Decent Work and Economic Growth, SDG5 Gender Equality, and SDG 10 Reduced Inequalities A fair supply chain starts with ensuring workers earn a living wage, not just minimum wage. At Devold, due diligence is embedded in the business strategy: Devold maintains vertical integration and source directly whenever possible as part of the quality control and risk management approach. This ensures oversight of the production process and enables Devold to provide a living wage to our workers and negotiate fair terms with our wool growers. Key actions: Strengthening direct partnerships with wool growers Supporting worker representation and union engagement Targets by 2029: 100% direct wool sourcing from New Zealand. Status: Achieved in 2018 with direct sourcing model ‘Sheep to Shop’. All Devold employees in the vertically integrated supply chain receive a living wage. Status: Achieved. 100 % living wage coverage in external Tier 1 suppliers. Status: 93% achieved in 2023 (Anker meth...",https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Devold_of_Norway_AS.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Devold_of_Norway_AS+2025.json
Nanso Group Oy,2025,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000241411,,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Nanso_Group_Oy.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Nanso_Group_Oy+2025.json
Reima,2025,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000241437,,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Reima.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Reima+2025.json
Marimekko,2025,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000241407,,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Marimekko.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Marimekko+2025.json
SOK S Group,2025,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000241435,,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+SOK_S_Group.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+SOK_S_Group+2025.json
