company,year,metric,value,source,comments,answer_url,item_url
Cotton on Group,2025,Clean Clothes Campaign+Supply Chain Transparency Score,5.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Cotton_on_Group.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Cotton_on_Group+2025.json
Free People,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Free_People.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Free_People+2025.json
Pull & Bear,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Pull_Bear.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Pull_Bear+2025.json
Zara,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Zara.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Zara+2025.json
Hollister,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Hollister.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Hollister+2025.json
Anthropologie,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Anthropologie.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Anthropologie+2025.json
The North Face Inc.,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+The_North_Face_Inc.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+The_North_Face_Inc+2025.json
Victoria's Secret,2025,Clean Clothes Campaign+Supply Chain Transparency Score,5.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Victoria_s_Secret.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Victoria_s_Secret+2025.json
Calvin Klein Inc.,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Calvin_Klein_Inc.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Calvin_Klein_Inc+2025.json
Target,2025,Clean Clothes Campaign+Supply Chain Transparency Score,5.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Target.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Target+2025.json
